Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2011,06/18/11,06/13/11,"Hot Springs Awning, Hot Springs, AR 71913",Worker was removing an awning on the balcony of third floor. The worker fell 30 feet from the balcony.
FY 2011,06/18/11,06/14/11,"City of South Pasadena Police Dept., Azusa, CA 91702",Worker fell and struck head on railroad tie.
FY 2011,06/18/11,06/14/11,"Corsicana Bedding, Inc., Middletown, NY 10941",Worker died from injuries after being crushed in a machine.
FY 2011,06/18/11,06/14/11,"GMC Services, LLC, Lafayette, LA 70507",Worker was changing a compressor on a rooftop unit when he came into contact with an energized wire and was electrocuted.
FY 2011,06/18/11,06/14/11,"Interstate Tree Service, Stockton, CA 95209",Worker fell from tree after cutting himself with chainsaw while trimming tree branches.
FY 2011,06/18/11,06/14/11,"Pepper Contracting Services, Inc., Brandon, FL 33511",The worker was picking up traffic-control devices when he was hit by a pickup truck.
FY 2011,06/18/11,06/15/11,"City of Muncie Fire Department, Muncie, IN 47305",Firefighter killed after being trapped inside building when roof collapsed during fire.
FY 2011,06/18/11,06/15/11,"City of Redding, Redding, CA 96001",Worker received fatal injuries in water pressure tank explosion after tank wall failed as it was being reloaded.
FY 2011,06/18/11,06/15/11,"Fabrizi Trucking and Paving Co., Valley City, OH 44280",Worker was struck by a bucket that fell from an excavator.
FY 2011,06/18/11,06/15/11,"US Dept of Interior USFWS, Guthrie, OK 73044",Worker was sampling endangered species of fish when he fell into water that was over his head.
FY 2011,06/18/11,06/16/11,"Associated Marine & Industrial Staffing, Inc., Houston, TX 77015",Worker was crushed by bundles of steel as he attempted to put a strap around them at the bottom of the ship.
FY 2011,06/18/11,06/16/11,"Hayward Bakr, Inc., New Orleans, LA 70127",Worker hit his head on the ground when he fell from a cargo trailer while moving materials.
FY 2011,06/18/11,06/16/11,"Indiana Dept of Transportation, Rensselaer, IN 47978",Worker struck and killed by vehicle.
FY 2011,06/18/11,06/16/11,"Sabina Landaverde, Olathe, KS 66062",Worker fell from the rooftop while engaging in work.
FY 2011,06/25/11,03/31/11,"B&L Services, Fort Lauderdale, FL 33311",Worker died after exposure to chemicals during spray painting operations.
FY 2011,06/25/11,05/21/11,"Ohio Edison Company, Massillon, OH 44646",Worker was working on live electrical lines when the worker grabbed one of the energized lines and was electrocuted.
FY 2011,06/25/11,05/26/11,"Waccamaw Metal Recycling, Myrtle Beach, SC 29577",Worker pinned between baler and truck while unloading metal.
FY 2011,06/25/11,06/13/11,"Showcase Cinema Deluxe, Dedham, MA 02026","Worker was climbing an extension ladder to clean a sign, and his feet slipped from under him."
FY 2011,06/25/11,06/15/11,"Charleston Electrical Services, Charleston, SC 29403",Worker conducting live work to isolate circuits electrocuted by arc from two wires.
FY 2011,06/25/11,06/15/11,"Stafford Development & Construction, Inc., Guntersville, AL 35976",Worker was removing a tree when he was struck by another tree being moved by a machine.
FY 2011,06/25/11,06/17/11,"City of DuQuoin Fire Department, Pinckneyville, IL 62274",Firefighter crushed by collapsing wall while fighting fire.
FY 2011,06/25/11,06/17/11,"LAD, INC. dba Roto-Rooter, Fayetteville, NC 28301",One worker killed and one injured after making contact with electricity during plumbing work in crawl space.
FY 2011,06/25/11,06/18/11,"SJ Stucco and Stone Inc., Elmwood Park,NJ 07407",Worker fell from a roof while working.
FY 2011,06/25/11,06/20/11,"Ace Automotive, New Albany, IN 47150",Worker struck by vehicle while performing automotive service.
FY 2011,06/25/11,06/20/11,"Chamberlin Building Services, Hollywood, CA 90038",Worker washing windows fell 50 feet when climbing from building into a boatswain chair.
FY 2011,06/25/11,06/20/11,"Fiberspar LinePipe LLC, Houston, TX 77041",Worker was run over by a forklift while in the process of moving a 16-foot spool.
FY 2011,06/25/11,06/20/11,"Sunrise Farms, Pixley, CA 93274",Worker pinned under tire while attempting to jump-start tractor that rolled.
FY 2011,06/25/11,06/21/11,"Intercoastal Repair Service, Jefferson, LA 70181",Worker was cleaning up hopper barge. He was found between two barges downriver from where he fell.
FY 2011,06/25/11,06/21/11,"JB Hunt Transport, Inc., Grove City, OH 43123",Worker was caught between two trailers.
FY 2011,06/25/11,06/21/11,"P G & E, Tracy, CA 94105",Worker electrocuted while working on powerline from a bucket truck.
FY 2011,06/25/11,06/21/11,"Portland Mechanical Construction Inc., Hubbard, OR 97032",Worker fell 10-12 feet from a ladder.
FY 2011,06/25/11,06/21/11,"Prince, Inc., Savage, MT 59262",Worker was trying to remove an object stuck in the rollers on a hotplant when the worker was pulled into the rollers.
FY 2011,06/25/11,06/21/11,"York Excavating Company, Incorporated, Lancaster, PA 17601","Worker went into a trench to insert a test ball when the wall caved in, burying him."
FY 2011,06/25/11,06/22/11,"Best Buy Tire 11 Inc., Charlotte, NC 28208",Worker struck by cast iron spacer that broke while putting tire on a rim.
FY 2011,06/25/11,06/22/11,"BP West Coast Products, Carson, CA 90749",Worker pinned between railcar and loading rack.
FY 2011,06/25/11,06/22/11,"Gilbane Building Company, Sanford, NC 27330",Worker fell 20 feet through roof decking damaged during tornado while performing an inspection.
FY 2011,06/25/11,06/22/11,"Golden Alley, Inc., Rozel, KS 67574",Worker was sweeping the elevator when he stepped into a manhole and fell 70 feet into the grain bin.
FY 2011,06/25/11,06/22/11,"Ridgeway Electric, Ozona, TX 76943",Worker went out to repair a powerline. The line was energized when the worker touched the wire and he was electrocuted.
FY 2011,06/25/11,06/23/11,"Matrix Electrical Contractors, Philadelphia, PA 19148",Worker was holding a tag line when a 10-ton hook and block fell and struck his head.
FY 2011,06/25/11,06/23/11,"Robert B. Marshall Inc., Shelbyville, IN 46176",Worker crushed in building collapse while performing deconstruction work.
FY 2011,07/02/11,01/23/11,"Vino Farms, Santa Rosa, CA 95240",Worker applying pesticide to vineyard was killed after exiting the tractor and being run over.
FY 2011,07/02/11,05/09/11,"Ortelaunee Mushroom Farm, Temple, PA 19560","Farm worker, complaining of sharp head pain, died after being found unconscious on the ground."
FY 2011,07/02/11,05/24/11,"RJM Investment, Inc., Congress, AZ 85332",Crane operator was crushed after crane overturned while backing down a hill.
FY 2011,07/02/11,05/26/11,"Madison Ave. Autos and Trucks, Sacramento, CA 95841",Worker cleaning glass died after falling from ladder and striking his head.
FY 2011,07/02/11,06/05/11,"Total Canopy Camuy Caves, Guaynabo, PR 00969",Worker drowned while installing a steel cord near a river.
FY 2011,07/02/11,06/09/11,"Imanna Laboratory, Inc., Rockledge, FL 32955",Worker testing a fuel tank without protective equipment died from burns after the tank exploded.
FY 2011,07/02/11,06/10/11,"Autoridad de Energia Electrica de Puerto Rico, Aguirre, PR 00704",Worker died after losing control of vehicle while traveling on an unpaved road.
FY 2011,07/02/11,06/13/11,"Crown Health Care Laundry, Selma, AL 36702",Worker was cleaning lint out of an industrial dryer when it fell on her crushing her at the waist.
FY 2011,07/02/11,06/18/11,"Trevcon Inc., Plano, TX 75024",Worker installing concrete panels was caught in between the tires of a telehandler.
FY 2011,07/02/11,06/20/11,"Fernandes Construction, Woonsocket, RI 02895",Construction worker died after falling through a building's skylight.
FY 2011,07/02/11,06/20/11,"Lawman Heating & Cooling, Sackets Harbor, NY 13685",Worker was crushed when the tree he was removing fell on the excavator cab.
FY 2011,07/02/11,06/22/11,"Personnel Plus, Carson, CA 90745",Worker fell backward and hit head on floor while pulling a pallet jack.
FY 2011,07/02/11,06/23/11,"Clawson Tank Co., Clarkston, MI 48346",Welding worker died after being pinned between a roller and tank.
FY 2011,07/02/11,06/23/11,"PNM Service Center, Santa Fe, NM 87508-9667",Worker fell 25 feet while conducting a man down pole rescue training exercise.
FY 2011,07/02/11,06/23/11,"St. James Leasing, Romulus, MI 48174",Worker was struck and killed by forklift.
FY 2011,07/02/11,06/23/11,"University Of Kentucky, Lexington, KY 40506",University worker died from head trauma after falling from the parking garage's fifth level.
FY 2011,07/02/11,06/24/11,"Abayla Construction Services, Conway, AR 72032",Worker removing electrical cable died from a 277-volt shock.
FY 2011,07/02/11,06/24/11,"Ada Energy Services LLC, Stonewall, OK 74871",Worker drilling oil inside an oil well collapsed and later died from apparent heat stress.
FY 2011,07/02/11,06/24/11,"Hughes Towing & Recovery, Orlando, FL 32805",Worker off-loading a motor home was killed when the RV rolled over him.
FY 2011,07/02/11,06/24/11,"Ralsdeck Painting and Staining, Stockton, IL 61085",Worker painting a barn in an aerial lift was electrocuted when he contacted a power line.
FY 2011,07/02/11,06/24/11,"Wayne Steel Erectors, Cameron, LA 70631",A sheet metal worker died from head injuries after falling from a ladder.
FY 2011,07/02/11,06/25/11,"Acme Energy Services Inc., dba Big Dog Drilling, Midland, TX 79701",Oil drill worker repairing a leak was killed after he was struck on the head by a steel cable.
FY 2011,07/02/11,06/25/11,"Shumate Mechanical LLC., Atlanta, GA 30331",Worker installing duct pipes was killed when the pipes fell on the scissor lift causing him to fall 16 feet.
FY 2011,07/02/11,06/26/11,"Fesco Ltd., Newton, TX 75966","Worker was killed when pressure released from a natural gas line threw him into a piece of iron, while another piece of iron fell on him."
FY 2011,07/02/11,06/27/11,"Carter Lumber, Franklin, IN 46131",Worker died after being struck in head without hard hat while removing trusses. Unknown if work related.
FY 2011,07/02/11,06/27/11,"Chisholm Tree Cutting Service, Saguache, CO 81149",Worker was cutting trees when he made contact with power lines.
FY 2011,07/02/11,06/27/11,"Davey Tree Surgery, Co., Livermore, CA 94550",Worker was struck by a tree.
FY 2011,07/02/11,06/27/11,"Unknown company, San Mateo, CA 94401",Worker died after falling more than 15 feet from ladder while moving telephone line.
FY 2011,07/02/11,06/28/11,"Beaumont Cherry Valley Water District, Beaumont, CA 92223",Utility worker marking a water line was killed by vehicle.
FY 2011,07/02/11,06/28/11,"Granbury Contracting & Utilities Inc., Granbury, TX 76048","Worker evaluating a sewer lift station died from gas exposure when he ruptured the sewer pipe, releasing liquid sewage and methane gas."
FY 2011,07/02/11,06/28/11,"Hardware Resources, Inc., Bossier City, LS 71111",Worker was electrocuted while using a scissor lift to replace a light bulb.
FY 2011,07/02/11,06/29/11,"Coral Construction Co, Mt. Clemens, MI 48043",Worker fell while performing residential roofing work.
FY 2011,07/02/11,06/29/11,"Green Thumb Landscape Design, Inc. Miami, FL 33187","Worker standing under the arms of a skid-steer loader was crushed when the arms/bucket came down, pinning him."
FY 2011,07/02/11,06/29/11,"SAVE-A-LOT Foods, Greenup, KY 41144",Worker fatally burned when the tractor trailer was struck and caught on fire.
FY 2011,07/09/11,12/12/10,"Rotert Construction Company, Carroll, IA 51401",Worker died from carbon monoxide poisoning while refueling generators for a construction site.
FY 2011,07/09/11,12/31/10,"Sweet Dreams Pastry Shop, Warren, MI 48092",Store worker died after falling off ladder and hitting his head.
FY 2011,07/09/11,03/08/11,"Railworks Track Systems, Council Bluffs, IA 51503",Worker died after being hit by a piece of metal while removing railroad track.
FY 2011,07/09/11,03/16/11,"Iowa Bridge and Culvert, Iowa City, IA 55242",Worker was struck and killed by beams when a construction shoring system failed.
FY 2011,07/09/11,06/07/11,"Institution Food House, Inc., Hickory, NC 28603",Worker was killed when pinned between truck and loading dock as truck backed in.
FY 2011,07/09/11,06/10/11,"D.C.G. Peterson Brothers, Inc., Manson, IA 50563",Worker installing heavy overhead door was crushed when the door fell.
FY 2011,07/09/11,06/21/11,"Chevron Lease, Taft, CA 93268",Worker at an oil and gas work site died after falling into a sinkhole filled with an unknown liquid with a temperature of about 180 degrees.
FY 2011,07/09/11,06/24/11,"Green Golf Management dba Stansbury Park Golf Course, Stansbury Park, UT 84074",Worker drowned when he was pinned underwater after his mower rolled into lake.
FY 2011,07/09/11,06/27/11,"Hill's Tree and Stump Grinding Services, LLC, Durham, NC 27705",Worker was struck and killed by falling dead tree branch while performing a back cut.
FY 2011,07/09/11,06/27/11,"RMDS, Indianapolis, IN 46204",Worker was struck and killed by yard truck.
FY 2011,07/09/11,06/27/11,"United Telephone Southeast, Erwin, TN 37650",Worker inside a bucket truck parked on an unstable gravel road died after the truck tipped over.
FY 2011,07/09/11,06/28/11,"Herzing Roofing, LLC, Universal City, TX 78148",Worker repairing a roof died from head injuries after slipping and falling nearly 20 feet to the concrete.
FY 2011,07/09/11,07/01/11,"City of Fulton - De Immigrant Windmill, Fulton, IL 61252",Worker struck on head by part of windmill and fell 10 feet onto the wheel spur.
FY 2011,07/09/11,07/02/11,"Carousel LLC, Orlando, FL 32819",Worker resetting a switch on a ride was struck and killed by the ride's counterweight.
FY 2011,07/09/11,07/02/11,"Texas Industries Inc., Dallas, TX 75247",Worker walking under the plant in the silo area died after losing his balance and falling.
