Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe,Inspection #,,,,,,,,,,,,,
11/3/2013,"City of Oregon, Oregon City, OR 97045+B362",Police officer was shot and killed while responding to  domestic disturbance call.,Fatality,,,,,,,,,,,,,,
11/2/2013,"B Hughes Tree Service, Wall Township, NJ 07719",Worker conducting tree trimming was electrocuted by power lines.,Fatality,,,,,,,,,,,,,,
11/1/2013,"Gillies Signs and Design Inc., Bountiful, UT 84010",Worker died in fall from boom lift basket.,Fatality,,,,,,,,,,,,,,
11/1/2013,"Jensen Farms, Stephen, MN 56757",Worker was struck and killed by farm equipment.,Fatality,,,,,,,,,,,,,,
11/1/2013,"Maxx Tree Service, Eagle Grove, IA 50533",Worker died after falling from a boom lift basket.,Fatality,,,,,,,,,,,,,,
11/1/2013,"Precision Auto Sales & Body Works Inc., West Greenwich, RI 02817",Worker struck and killed by drive shaft while preparing  vehicle for towing.,Fatality,,,,,,,,,,,,,,
11/1/2013,"Ronny Little Trucking Inc., Laredo, TX 78045",Worker was crushed by pipe while offloading it from a truck. ,Fatality,,,,,,,,,,,,,,
11/1/2013,"ThyssenKrupp Elevator, Dallas, TX 75201",Maintenance worker killed after falling down elevator shaft.,Fatality,,,,,,,,,,,,,,
10/31/2013,"David Woods (self-employed handyman), Cayucos, CA 93430",Worker power washing roof died in a fall.,Fatality,,,,,,,,,,,,,,
10/31/2013,"Lyon & Son Tree Service LLC, Haddonfield, NJ 08033",Worker died after falling from a tree.,Fatality,,,,,,,,,,,,,,
10/31/2013,"Meggitt (Rockmart) Inc., Rockmart, GA 30153",Worker died after being struck by an autoclave door.,Fatality,,,,,,,,,,,,,,
10/31/2013,"Ramscape, Irvine, CA 922618",Two workers were killed and two injured when the truck they were in rolled over on highway.,Fatality,,,,,,,,,,,,,,
10/31/2013,"U.S. Postal Service, Tulsa, OK 74136",Worker operating a mail carrier vehicle was killed in a traffic collision.,Fatality,,,,,,,,,,,,,,
10/31/2013,"Weaver Bailey Contractors Inc., Alexander, AR 72002",Worker killed in a trench collapse.,Fatality,,,,,,,,,,,,,,
10/30/2013,"All Around Home Improvement LLC, Fox Point, WI 53217",Worker crushed when a residential garage collapsed on him.,Fatality,,,,,,,,,,,,,,
10/30/2013,"City of Pontiac ? Police Department, Pontiac, IL 61764",Police officer and K-9 partner were struck and killed by a motor vehicle while sitting in their patrol car.,Fatality,,,,,,,,,,,,,,
10/30/2013,"Family Dollar, Willard, OH 44890",Worker shot and killed during an attempted robbery. ,Fatality,,,,,,,,,,,,,,
10/30/2013,"Julal Construction Inc., Beverly Hills, CA 90210",Worker died after falling more than three stories through a skylight.,Fatality,,,,,,,,,,,,,,
10/30/2013,"Sierra Pacific Industries Inc., Quincy, CA 95971",Worker died after becoming tangled in equipment.,Fatality,,,,,,,,,,,,,,
10/30/2013,"Webeco LLC, Plummer, ID 83851",Worker crushed when the log truck he was riding in tipped onto its side. ,Fatality,,,,,,,,,,,,,,
10/29/2013,"Bulk Transit Corporation, Harman, WV 26270",Tractor driver died in a vehicle collision.,Fatality,,,,,,,,,,,,,,
10/29/2013,"C J Hesse Inc., New Gretna, NJ 08224",Worker struck and killed by dump truck during highway resurfacing.,Fatality,,,,,,,,,,,,,,
10/29/2013,"Chris Watterson, Akron, OH 44301",Worker using bucket truck to install building siding died after falling 15 feet.,Fatality,,,,,,,,,,,,,,
10/29/2013,"Key Energy Services Inc., Colorado City, TX 79512",Worker struck and killed by a high pressure line on rig.,Fatality,,,,,,,,,,,,,,
10/29/2013,"Mark Construction Group Corp., Hudson, NY 10520",Carpenter died after falling through a wall opening.,Fatality,,,,,,,,,,,,,,
10/28/2013,"Gilbert Logging, Belton, SC 29627",Worker was struck and killed by a falling tree.,Fatality,,,,,,,,,,,,,,
10/28/2013,"Henkels & McCoy, South Lake, TX 76092",Worker electrocuted while installing fiber optic cable near overhead power lines.,Fatality,,,,,,,,,,,,,,
10/28/2013,"Kenneth Wilson, Pagosa Springs, CO 81147",Worker painting exterior of a house died in fall from scaffold.,Fatality,,,,,,,,,,,,,,
10/28/2013,"Langford Services Inc., Ormond Beach, FL 32173",Worker died after falling from the roof of a single family residence under construction.,Fatality,,,,,,,,,,,,,,
10/28/2013,"Omega Protein Inc., Reeville, VA 22539",Worker on fishing boat drowned.  ,Fatality,,,,,,,,,,,,,,
10/28/2013,"Southern Choppers Logging, Belton, SC 29627",Worker died after being struck by cut tree.,Fatality,,,,,,,,,,,,,,
10/27/2013,"Vessel Repair Inc., Port Arthur, TX 77642",Worker asphyxiated in oxygen deficient atmosphere.,Fatality,,,,,,,,,,,,,,
10/26/2013,"James Arnett Wells, Vero Beach, FL 32967",Worker repairing a roof died after falling through a skylight.,Fatality,,,,,,,,,,,,,,
10/25/2013,"Asplundh Tree Expert Co., Benton, LA 71006",Worker trimming trees was killed when a cut tree limb caught his climbing line.,Fatality,,,,,,,,,,,,,,
10/25/2013,"Charles Harward, Ocala, FL 34470",Worker repairing leaks died after falling from roof.,Fatality,,,,,,,,,,,,,,
10/25/2013,"DJS Building & Restoration LLC, Kennebunk, ME 04043",Worker died in fall from roof of a residential building.,Fatality,,,,,,,,,,,,,,
10/25/2013,"Famous McElwee, Pomona, CA 91767",Worker driving semi-truck was killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
10/25/2013,"Frank R. Morton (dba Dixie Dozer Grading), Midway Park, NC  28544",Worker died when a falling tree crushed the cab of the backhoe he was operating.,Fatality,,,,,,,,,,,,,,
10/25/2013,"GK Stones, Westminster, CA 92683",Worker was crushed and killed by slabs of granite that fell off a truck during loading.,Fatality,,,,,,,,,,,,,,
10/25/2013,"Lawrance Murrary, Chelsea, OK 74016",Worker digging fence post holes died when caught in tractor-powered auger.,Fatality,,,,,,,,,,,,,,
10/25/2013,"Quality Posting Services Inc., Douglasville, GA 30134",Worker died after falling from a billboard catwalk.,Fatality,,,,,,,,,,,,,,
10/25/2013,"Salida Ag Chemical Inc., Modesto, CA 95358",Worker hauling fertilizer in a tanker was killed in a vehicle collision.,Fatality,,,,,,,,,,,,,,
10/24/2013,"Arch Granite & Cabinetry Inc., Oklahoma, OK 73108",Worker crushed when forklift rolled over.,Fatality,,,,,,,,,,,,,,
10/24/2013,"Conrad Yelvington Sales LLC dba CYDI, Sanford, FL 32773",Worker crushed when the rail car he was riding on derailed.,Fatality,,,,,,,,,,,,,,
10/24/2013,"Joseph Smith & Sons Inc., Capitol Heights, MD 20743",Recycling yard worker struck and killed by a dump truck.,Fatality,,,,,,,,,,,,,,
10/24/2013,"Larry Strate Plumbing, Lees Summit, MO 64082",Worker connecting sewer pipe died in a trench collapse.,Fatality,,,,,,,,,,,,,,
10/24/2013,"Metaldyne Powertrain Components Inc., Twinsburg, OH 44087",Worker died in fall while replacing a belt on a conveyor motor.  ,Fatality,,,,,,,,,,,,,,
10/24/2013,"Von Arx Drayage Company Inc., Eureka, CA 95501",Truck driver was killed in vehicle crash and explosion.,Fatality,,,,,,,,,,,,,,
10/23/2013,"Bayou City Rail Inc., Cleveland, TX 77327",Back hoe operator crushed between the machine's bucket arm and outrigger. ,Fatality,,,,,,,,,,,,,,
10/23/2013,"Pick and Pull, Hammond, IN 46320",Worker died when the vehicle he was operating flipped over.,Fatality,,,,,,,,,,,,,,
10/23/2013,"Professional Transportation, Evansville, IN 47715",Worker died in a motor vehicle collision with a train.,Fatality,,,,,,,,,,,,,,
10/23/2013,"Republic Contracting Corp., Bluffton, SC 29910",Worker struck and killed by vehicle in road construction work zone.,Fatality,,,,,,,,,,,,,,
10/23/2013,"St Louis Bridge Company, West Alton, MO 63386",Skiff operator died when vessel was struck by a tow boat.,Fatality,,,,,,,,,,,,,,
10/22/2013,"A Better Way Landscaping, Amarillo, TX 79109",Worker trimming trees was electrocuted by power lines.,Fatality,,,,,,,,,,,,,,
10/22/2013,"DDA Construction, Franklin, LA 70538",Worker died in fall from a sheet metal roof.,Fatality,,,,,,,,,,,,,,
10/22/2013,"J & J Diving Corporation , Port Sulphur, LA 70083",Worker drowned while conducting diving operations. ,Fatality,,,,,,,,,,,,,,
10/22/2013,"K. Dolan Corporation, Blairsville, PA 15717",Worker crushed and killed between hydraulic rear-door of a vacuum truck and vacuum tank.,Fatality,,,,,,,,,,,,,,
10/21/2013,"BK All American Company LLC, Aiken, SC 29801 ",Worker was struck and killed by a falling I-beam.,Fatality,,,,,,,,,,,,,,
10/21/2013,"Dale T Smith Meat Packing Inc., Draper, UT 84020",Worker was crushed between the skid steer bucket and a semi-truck.,Fatality,,,,,,,,,,,,,,
10/21/2013,"Fore-Quarters Feedlot LLC, Norfolk, NE 68701",Worker died after becoming engulfed by cattle feed in an open silage pit.,Fatality,,,,,,,,,,,,,,
10/21/2013,"Landwehr Construction Inc., St. Paul, MN 55117",Worker killed when the crane he was operating tipped over.,Fatality,,,,,,,,,,,,,,
10/21/2013,"Romanoff Electric, Upper Arlington, OH 43221",Worker pulling cable was electrocuted. ,Fatality,,,,,,,,,,,,,,
10/20/2013,"Carnival Cruise Lines, New Orleans, LA 70160",Worker died after being caught between a manlift and a platform during ship maintenance.,Fatality,,,,,,,,,,,,,,
10/20/2013,"M3 Mechanical, Newport Beach, CA 92660",Worker died after falling from roof ladder.,Fatality,,,,,,,,,,,,,,
10/20/2013,"Performance Team Freight Systems Inc., Edison, NJ 08817",Worker repairing a bridge died after a falling from an aerial lift.,Fatality,,,,,,,,,,,,,,
10/20/2013,"Wrigley Manufacturing Company LLC, Chattanooga, TN 37421",Worker died after falling from a ladder that was struck by a forklift backing up.,Fatality,,,,,,,,,,,,,,
10/19/2013,"Bay Area Rapid Transit District, Walnut Creek, CA 94597",Two rail workers were struck and killed by a train.,Fatality,,,,,,,,,,,,,,
10/19/2013,"Christopher Professional Services Inc., Athens, AL 35611",Worker struck and killed by excavated material.,Fatality,,,,,,,,,,,,,,
10/19/2013,"John Boak Logging LLC, Humboldt, CA 95519",Worker was struck and killed by a falling tree. ,Fatality,,,,,,,,,,,,,,
10/19/2013,"Martin Roofing Services Inc., Wilkesboro, NC 28697",Worker was struck and killed by falling brick.,Fatality,,,,,,,,,,,,,,
10/19/2013,"Stopski Construction, Minnetonka, MN 55305",Construction worker died after falling from a ladder.,Fatality,,,,,,,,,,,,,,
10/18/2013,"Big Sky General Rental Inc., Butte, MT 59701",Employee killed after being ejected from aerial lift basket.,Fatality,,,,,,,,,,,,,,
10/18/2013,"Roberto Rodas Ortiz, Los Angeles, CA 90040",Worker was struck and killed by a truck.,Fatality,,,,,,,,,,,,,,
10/17/2013,"Executive Contractors R.S.R. Inc., Silver Spring, MD 20910",Worker died after falling from  a roof.,Fatality,,,,,,,,,,,,,,
10/17/2013,"Hanson Landscape Design & Installation Inc., Sandwich, IL 60548",Worker was crushed when lawnmower fell off jacks during repairs.,Fatality,,,,,,,,,,,,,,
10/17/2013,"Natural Resources Department of  Washington State, Deer Park, WA 99006",Worker was struck and killed by a tree during wild fire containment operations.,Fatality,,,,,,,,,,,,,,
10/17/2013,"Quality Ready Mix, Wapakoneta, OH 45895",Worker driving a dump truck was killed in collision.  ,Fatality,,,,,,,,,,,,,,
10/17/2013,"Roth Farms LLC, Blackfoot, ID 83221",Worker died when ATV flipped over. ,Fatality,,,,,,,,,,,,,,
10/17/2013,"Sabre Tubler Structure Inc., Alvarado, TX 76009",Worker stuck and killed by over-head crane.,Fatality,,,,,,,,,,,,,,
10/16/2013,"Cedar Valley Plumbing Supply, West Lake Village, CA 91362",Worker died after falling through a roof.,Fatality,,,,,,,,,,,,,,
10/16/2013,"Davids Heating and Air LLC, Seneca, SC 29678",Worker trimming trees died after falling from ladder.,Fatality,,,,,,,,,,,,,,
10/16/2013,"Frazee's Cable Services Inc., Flemington, NJ 08822",Worker electrocuted while working from bucket truck.,Fatality,,,,,,,,,,,,,,
10/16/2013,"Georgia Pacific, Cedar Springs, GA 39832",Worker crushed and killed by winding machine.,Fatality,,,,,,,,,,,,,,
10/16/2013,"Real Property Management West LLC, West Jordan, UT 84088",Worker died after falling from residential roof.,Fatality,,,,,,,,,,,,,,
10/16/2013,"Rykers Construction LLC, Rochester, MN 55902",Construction worker died in fall.,Fatality,,,,,,,,,,,,,,
10/16/2013,"Tool-Flo, Houston, TX 77061",Worker electrocuted while repairing a band saw. ,Fatality,,,,,,,,,,,,,,
10/15/2013,"JR Simplot Company, Moses Lake, WA 98837",Worker killed after being pulled under tractor and run over.,Fatality,,,,,,,,,,,,,,
10/15/2013,"Level Best Inc., Thorp, WA 98946",Worker crushed between bucket and raised outrigger.,Fatality,,,,,,,,,,,,,,
10/15/2013,"Waste Management of WV, Spencer, WV 25276",Worker died after being stung by a bee during waste disposal operations.,Fatality,,,,,,,,,,,,,,
10/15/2013,"Xcaliber International LTD LLC, Pryor, OK 74361",Worker was killed in a vehicle collision.,Fatality,,,,,,,,,,,,,,
10/14/2013,"Arends Inspection LLC, Houston, TX 77061",Worker electrocuted while performing magnetic particle testing.,Fatality,,,,,,,,,,,,,,
10/14/2013,"Clyde Machine,  Glenwood, MN 56334",Worker crushed by one-ton object that fell on him while welding.,Fatality,,,,,,,,,,,,,,
10/14/2013,"Detweiler Lumber LLC, Allensville, PA 17002",Worker died from severe laceration caused by a rotating saw blade.,Fatality,,,,,,,,,,,,,,
10/14/2013,"GERDAU, Santa Clara, CA 95059",Worker struck and killed by bundle of rebar while unloading a truck.,Fatality,,,,,,,,,,,,,,
10/14/2013,"Manuel Contractors LLC, Charlotte, NC 28213",Worker on construction site electrocuted by overhead power line.,Fatality,,,,,,,,,,,,,,
10/12/2013,"Key Energy Services California Inc., Santa Maria, CA 93454",Worker died in a fall.,Fatality,,,,,,,,,,,,,,
10/11/2013,"Siemens Water Technologies LLC, New Lisbon, IN 47366",Worker was killed in a vehicle collision.,Fatality,,,,,,,,,,,,,,
10/10/2013,"Franklin Burt Logging Warren Inc., Warren, AR 71671",Worker was struck and killed by a log truck loader moving in reverse.  ,Fatality,,,,,,,,,,,,,,
10/10/2013,"Jesus Cesar Briseno (DBA Cali Agriculture), Ivanhoe, CA 93235",Worker died after falling from ladder while picking olives.  ,Fatality,,,,,,,,,,,,,,
10/10/2013,"Sun Construction Inc., Trinidad, CO 81082",Worker operating a compactor when it rolled over on top of him.    ,Fatality,,,,,,,,,,,,,,
10/9/2013,"Daniel Schenherr, Camdenton, MO 65020",Roofer died after falling 25 feet from scaffold.,Fatality,,,,,,,,,,,,,,
10/9/2013,"Dow Chemical Co., North Andover, MA 01845",Worker died from burns and injuries caused by an explosion. ,Fatality,,,,,,,,,,,,,,
10/9/2013,"Driven Services LLC, Manning, ND 58642",Worker replacing a pipe at a well site was killed after being  sprayed with gas.,Fatality,,,,,,,,,,,,,,
10/9/2013,"Priefert Mfg. Co. Inc., Mount Pleasant, TX 75456",Worker electrocuted while installing computer component.,Fatality,,,,,,,,,,,,,,
10/8/2013,"Con-Site Services Inc., Eight Mile, AL ",Worker crushed and killed by overturned excavator.,Fatality,,,,,,,,,,,,,,
10/8/2013,"F/V Ostrich, Ketchikan, AK 99901",Diver asphyxiated during diving operations. ,Fatality,,,,,,,,,,,,,,
10/8/2013,"Skinner's Logging, Saint George, WV 26287",Worker crushed and killed by falling tree.,Fatality,,,,,,,,,,,,,,
10/8/2013,"Wayne Dalton Corp., Mount Hope, OH 44660",Worker struck and killed by wire from a winder machine.  ,Fatality,,,,,,,,,,,,,,
10/7/2013,"Eastchester Town Highway Department, Eastchester, NY 10709 ",Worker crushed and killed when sanitation truck backed into telephone pole.,Fatality,,,,,,,,,,,,,,
10/7/2013,"Hope Electric, Harvey, ND 58341",Worker struck and killed by a falling object.,Fatality,,,,,,,,,,,,,,
10/7/2013,"Ozuna M. Benito, Moses Lake, WA 98837",Worker killed in multiple vehicle collission.,Fatality,,,,,,,,,,,,,,
10/7/2013,"RJ Noble Company, Corona, CA 92883",Worker died after being pulled into an asphalt crushing machine.,Fatality,,,,,,,,,,,,,,
10/6/2013,"Calista Corporation, Anchorage, AK 99501",Worker drowned after falling from towing vessel into the water.,Fatality,,,,,,,,,,,,,,
10/6/2013,"Hollifield Ranches Inc., Hansen, ID 83334",Farm worker operating a tractor was killed in a collision with another vehicle.,Fatality,,,,,,,,,,,,,,
10/6/2013,"Medstar Health Washington Hospital Center, Washington, DC 20010",Maintenance worker died from freon exposure while peforming maintenance on a compressor.,Fatality,,,,,,,,,,,,,,
10/4/2013,"Brian McMahon Construction, San Rafael, CA 94903",Worker struck and killed by vehicle while inspecting a manhole.,Fatality,,,,,,,,,,,,,,
10/3/2013,"Car Country Auto Wrecking, Newton, IA 50208",Worker struck and killed while servicing a bucket truck.,Fatality,,,,,,,,,,,,,,
10/3/2013,"Omar Barahona, College Point, NY 11356",Worker performing maintenance on a forklift crushed when it  slipped from supports.,Fatality,,,,,,,,,,,,,,
10/3/2013,"Pacific Architects and Engineers Incorporated, Terminal Island, CA 90731",Worker fell from boat and drowned while testing repaired engine.,Fatality,,,,,,,,,,,,,,
10/2/2013,"Mow It Now & H.I.N. LLC, Coram, NY 11727",Worker operating a lawn mower struck and killed by passing  motor vehicle.,Fatality,,,,,,,,,,,,,,
10/2/2013,"Traffic Loops Crackfilling Inc., Clovis, CA 93612",Roadway worker struck and killed by a motor vehicle.,Fatality,,,,,,,,,,,,,,
10/1/2013,"CSB Enterprises Inc., Huntley, IL 60142",Worker  struck and killed by an industrial truck.,Fatality,,,,,,,,,,,,,,
10/1/2013,"Jack Verbree Jr. Dairies LLC, E Wendell, ID 83355",Worker died after being struck by equipment he was servicing.,Fatality,,,,,,,,,,,,,,
10/1/2013,"MLTK LLC, Staten Island, NY 10306",Worker struck and killed by grocery delivery car.,Fatality,,,,,,,,,,,,,,
10/1/2013,"Tice Electric Company, Plains, MT 59859",Worker was crushed when forklift rolled over.,Fatality,,,,,,,,,,,,,,
9/25/2013,"Marquez Farms, Fresno, CA 93725",Worker fatally crushed between tractor and trailer. ,Fatality,985466,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
